age,annual_income_usd,savings_rate_pct,debt_to_income_ratio,investment_horizon_years,investment_experience,investment_goal,risk_tier
29,60000,24.1,0.41,10,Beginner,Wealth building,Medium
57,75000,20.0,0.17,10,Beginner,Emergency fund,Medium
51,90000,13.8,0.41,20,Intermediate,Emergency fund,Medium
44,75000,20.2,0.28,10,Advanced,Retirement,Medium
63,90000,16.1,0.02,15,Advanced,Income,Medium
65,45000,4.6,0.08,15,Advanced,Wealth building,Medium
35,90000,12.8,0.23,5,Intermediate,Retirement,Medium
35,110000,13.4,0.46,5,Intermediate,Education,Medium
23,110000,20.1,0.15,20,Intermediate,Income,High
58,90000,9.5,0.2,20,Intermediate,Education,Medium
26,90000,6.7,0.31,30,Intermediate,Education,High
59,75000,13.6,0.03,10,Beginner,Emergency fund,Low
66,90000,8.8,0.32,10,Beginner,Income,Low
62,45000,11.4,0.05,5,Intermediate,Retirement,Low
35,75000,13.4,0.37,15,Intermediate,Education,Medium
60,75000,10.9,0.16,20,Beginner,Emergency fund,Medium
46,140000,21.7,0.14,25,Beginner,Retirement,Medium
41,75000,25.3,0.32,20,Advanced,Wealth building,High
23,75000,20.9,0.4,10,Intermediate,Wealth building,Medium
60,75000,0.0,0.34,15,Intermediate,Emergency fund,Low
27,90000,8.9,0.31,30,Intermediate,Retirement,High
38,90000,12.6,0.31,15,Intermediate,Education,Medium
46,60000,0.0,0.34,20,Beginner,Retirement,Medium
49,75000,7.0,0.35,30,Intermediate,Wealth building,High
23,110000,12.5,0.22,25,Intermediate,Education,High
56,75000,10.4,0.38,25,Beginner,Wealth building,Medium
58,60000,14.1,0.16,10,Beginner,Wealth building,Medium
26,90000,3.0,0.44,15,Beginner,Retirement,Medium
22,110000,10.3,0.4,5,Intermediate,Emergency fund,Medium
61,30000,15.2,0.61,20,Beginner,Income,Medium
33,110000,14.1,0.36,10,Intermediate,Income,Medium
57,110000,17.6,0.42,25,Intermediate,Emergency fund,Medium
66,75000,17.1,0.05,25,Advanced,Retirement,High
44,180000,10.7,0.42,20,Intermediate,Retirement,Medium
52,110000,15.0,0.46,10,Beginner,Retirement,Low
32,110000,7.6,0.51,5,Intermediate,Wealth building,Medium
31,90000,11.8,0.3,25,Intermediate,Retirement,High
24,45000,5.6,0.23,20,Beginner,Retirement,Medium
35,60000,22.5,0.12,25,Intermediate,Emergency fund,High
37,75000,11.8,0.13,15,Advanced,Retirement,Medium
31,60000,22.5,0.28,20,Beginner,Emergency fund,High
50,75000,16.5,0.02,25,Intermediate,Income,Medium
31,140000,6.9,0.16,15,Advanced,Emergency fund,Medium
33,110000,16.0,0.29,20,Intermediate,Education,High
51,90000,20.5,0.29,25,Intermediate,Education,Medium
62,110000,13.4,0.13,10,Beginner,Retirement,Medium
22,110000,14.6,0.09,5,Beginner,Retirement,Medium
26,75000,9.6,0.12,20,Intermediate,Retirement,High
41,60000,14.2,0.25,5,Intermediate,Retirement,Medium
29,75000,15.9,0.6,25,Advanced,Emergency fund,High
64,90000,9.4,0.44,25,Beginner,Income,Medium
33,75000,5.4,0.31,30,Intermediate,Income,Medium
22,90000,24.3,0.36,20,Beginner,Retirement,High
41,45000,18.8,0.43,5,Beginner,Income,Medium
49,90000,9.6,0.38,10,Intermediate,Retirement,Low
64,110000,15.8,0.23,25,Beginner,Education,Medium
58,90000,2.2,0.15,10,Beginner,Retirement,Low
58,180000,0.0,0.26,20,Beginner,Retirement,Medium
33,110000,22.7,0.43,25,Beginner,Wealth building,Medium
58,140000,15.8,0.24,15,Advanced,Education,Medium
65,140000,13.6,0.11,15,Intermediate,Retirement,Medium
49,110000,15.9,0.02,20,Beginner,Retirement,Medium
36,90000,39.8,0.26,25,Advanced,Income,High
27,30000,21.0,0.13,10,Intermediate,Income,Medium
65,75000,5.6,0.21,30,Advanced,Retirement,Medium
41,75000,0.6,0.5,20,Beginner,Emergency fund,Medium
35,60000,22.4,0.27,30,Intermediate,Retirement,High
23,60000,20.8,0.17,5,Advanced,Wealth building,Medium
30,180000,18.6,0.33,10,Beginner,Wealth building,Medium
58,140000,7.5,0.57,25,Advanced,Wealth building,Medium
41,110000,16.9,0.26,25,Advanced,Wealth building,High
47,75000,8.2,0.0,15,Advanced,Wealth building,High
50,30000,19.3,0.38,25,Beginner,Wealth building,Medium
